"","player_name","nameFirst","nameLast","season","pass_defended","total_intercept","total_fumble_forced","total_assist_tackle","total_sack","total_solo_tackle","position","posteam","posteam_type","defteam","total_pos_time_in_minutes_per_game"
"16","A.Adams","Anthony","Adams",2018,1,NA,NA,NA,NA,2,"DT","CIN","home","TB",31.8807971014493
"18","A.Adams","Andrew","Adams",2018,1,NA,NA,NA,NA,2,"DB","CIN","home","TB",31.8807971014493
"58","A.Adams","Anthony","Adams",2017,1,NA,NA,2,0,4,"DT","WAS","away","NYG",26.5253333333333
"60","A.Adams","Andrew","Adams",2017,1,NA,NA,2,0,4,"DB","WAS","away","NYG",26.5253333333333
"134","A.Anzalone","Alex","Anzalone",2017,NA,NA,NA,NA,NA,1,"LB","MIA","home","NO",29.5791044776119
"150","A.Armstead","Armond","Armstead",2017,NA,NA,NA,NA,NA,3,"DL","CAR","away","SF",29.9120481927711
"155","A.Armstead","Arik","Armstead",2018,NA,NA,NA,1,0,2,"DE","DET","away","SF",33.9779461279461
"164","A.Armstead","Armond","Armstead",2018,NA,NA,NA,NA,1,5,"DL","LA","away","SF",29.4380952380952
"169","A.Armstead","Arik","Armstead",2018,NA,NA,NA,NA,0,3,"DE","MIN","home","SF",32.2982456140351
"178","A.Armstead","Armond","Armstead",2018,NA,NA,NA,1,NA,1,"DL","SEA","home","SF",30.8588607594937
"183","A.Armstead","Arik","Armstead",2017,NA,NA,NA,NA,NA,2,"DE","WAS","home","SF",31.6414855072464
"186","A.Averett","Anthony","Averett",2018,1,NA,NA,NA,NA,NA,"DB","OAK","away","BAL",25.393125
"190","A.Ayers","Akeem","Ayers",2017,NA,NA,NA,NA,NA,1,"LB","PHI","away","NYG",31.9871212121212
"239","A.Bailey","Allen","Bailey",2018,NA,NA,NA,NA,1,1,"DE","LA","home","KC",31.2354938271605
"309","A.Bailey","Allen","Bailey",2018,NA,NA,NA,1,1,3,"DE","SF","away","KC",29.885632183908
"333","A.Barr","Anthony","Barr",2017,NA,NA,NA,1,0,3,"OLB","DET","home","MIN",29.1238738738739
"347","A.Barr","Anthony","Barr",2018,1,NA,NA,1,NA,1,"OLB","SF","away","MIN",30.671686746988
"394","A.Blackson","Angelo","Blackson",2018,NA,NA,NA,NA,1,3,"DT","NYG","away","HOU",31.1713080168776
"407","A.Boone","Alfonso","Boone",NA,NA,NA,NA,NA,NA,NA,"DE",NA,NA,NA,NA
"424","A.Bouye","A.J.","Bouye",2017,1,1,NA,NA,NA,3,"DB","LAC","away","JAX",33.4925093632959
"438","A.Bouye","A.J.","Bouye",2018,NA,NA,NA,1,NA,1,"DB","WAS","away","JAX",33.1492673992674
"526","A.Brooks","Ahmad","Brooks",2017,NA,NA,NA,1,NA,NA,"LB","DET","home","GB",29.5987341772152
"592","A.Brown","Alex","Brown",2017,1,NA,NA,3,NA,2,"DB","ATL","home","DAL",33.4934156378601
"634","A.Brown","Alex","Brown",2018,1,NA,NA,NA,NA,2,"DB","CAR","home","DAL",31.1184981684982
"676","A.Brown","Alex","Brown",2017,1,NA,NA,1,NA,6,"DB","DEN","home","DAL",28.8602836879433
"718","A.Brown","Alex","Brown",2017,NA,NA,NA,2,NA,3,"DB","GB","away","DAL",34.6267932489451
"760","A.Brown","Alex","Brown",2018,NA,NA,NA,NA,NA,3,"DB","IND","home","DAL",33.5703488372093
"802","A.Brown","Alex","Brown",2017,NA,NA,NA,NA,NA,4,"DB","KC","away","DAL",30.9106060606061
"844","A.Brown","Alex","Brown",2017,1,NA,NA,NA,NA,3,"DB","LAC","away","DAL",33.1922619047619
"886","A.Brown","Alex","Brown",2017,1,1,NA,NA,NA,1,"DB","NYG","away","DAL",34.7472222222222
"928","A.Brown","Alex","Brown",2017,NA,NA,NA,NA,NA,1,"DB","NYG","home","DAL",33.5021452145215
"970","A.Brown","Alex","Brown",2017,1,NA,NA,NA,0,3,"DB","PHI","away","DAL",28.2311688311688
"1012","A.Brown","Alex","Brown",2017,2,NA,NA,NA,1,5,"DB","PHI","home","DAL",30.2897286821705
"1054","A.Brown","Alex","Brown",2018,NA,NA,NA,NA,NA,1,"DB","PIT","away","CLE",37.7767295597484
"1096","A.Brown","Alex","Brown",2018,NA,NA,NA,NA,NA,1,"DB","PIT","home","NE",28.315367965368
"1138","A.Brown","Alex","Brown",2017,NA,NA,NA,1,NA,4,"DB","SF","home","DAL",30.4224279835391
"1180","A.Brown","Alex","Brown",2017,NA,1,NA,NA,NA,1,"DB","WAS","away","DAL",30.1262820512821
